  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
  1	   -3.05636e+19	                   1	        0.27	         -45.0923	             -90.184	        -4.02168e+19	        -8.04336e+19	            -45.0923	             -90.184	            -97.6956	         4.02168e+19	          -0.0233862	                   0
  2	   -4.37734e+15	            0.869565	        0.46	         -45.1971	            -90.3931	        -4.73419e+15	        -9.46838e+15	            -45.1971	            -90.3931	            -97.2118	         4.73419e+15	          -0.0330746	                0.46
  3	    -9.3702e+12	            0.769231	        0.65	         -45.3019	            -90.6021	        -1.82335e+13	        -3.64669e+13	            -45.3019	            -90.6021	            -97.0157	         1.82335e+13	          -0.0405099	                0.64
  4	   -8.04451e+10	            0.645161	        0.76	         -45.4067	            -90.8112	        -8.12686e+10	        -1.62537e+11	            -45.4067	            -90.8112	            -96.9373	         8.12686e+10	          -0.0467789	                0.75
  5	   -1.33468e+10	            0.714286	        0.89	         -45.5115	            -91.0203	         -1.6006e+10	        -3.20119e+10	            -45.5115	            -91.0203	            -96.9235	          1.6006e+10	          -0.0523028	                1.13
  6	   -2.60806e+09	            0.606061	        1.34	         -45.6163	            -91.2294	        -2.89301e+09	        -5.78601e+09	            -45.6163	            -91.2294	            -96.9505	         2.89301e+09	          -0.0572974	                1.55
  7	   -5.90237e+08	            0.588235	        5.07	         -45.7211	            -91.4384	         -5.9352e+08	        -1.18704e+09	            -45.7211	            -91.4384	            -97.0057	          5.9352e+08	          -0.0618911	                 1.8
  8	   -1.98669e+08	            0.512821	        0.69	          1.21199	             2.42835	        -2.06402e+08	        -4.12805e+08	             1.21199	             2.42835	             -3.0057	         2.06402e+08	          -0.0661674	                1.21
  9	   -7.32657e+07	            0.833333	         0.8	          1.10718	             2.21928	        -7.73678e+07	        -1.54736e+08	             1.10718	             2.21928	            -3.09726	         7.73678e+07	          -0.0701843	                1.35
 10	   -1.67339e+07	                 0.5	        1.51	          43.0346	             86.0747	        -1.92166e+07	        -3.84333e+07	             43.0346	             86.0747	             80.8632	         1.92167e+07	          -0.0739841	                8.81
 11	   -4.00869e+06	            0.408163	        1.95	          42.9298	             85.8656	         -4.1941e+06	         -8.3882e+06	             42.9298	             85.8656	             80.7492	         4.19415e+06	          -0.0775987	               22.37
 12	   -1.44207e+06	            0.444444	        1.45	           42.825	             85.6565	        -1.45057e+06	        -2.90114e+06	              42.825	             85.6565	             80.6269	         1.45062e+06	          -0.0810529	                2.49
